state,state_fips,year,log_median_income,poverty_rate,unemployment_rate,pct_black,pct_hispanic
Alabama,1,2010,10.608415071631605,0.19033548533631028,0.11825240797644425,0.2625888711633006,0.03819929291759886
Alabama,1,2011,10.631398413032365,0.19040193814731224,0.11575667469038461,0.26544264315786403,0.03877036858126819
Alabama,1,2012,10.635230250855436,0.18962570039630522,0.09984372505503351,0.26285212658670437,0.03845709570443774
Alabama,1,2013,10.665437586530738,0.18730944285591605,0.09629148275077948,0.26486008090659746,0.03929352991338766
Alabama,1,2014,10.664994070609417,0.1925257675806216,0.08566295089644552,0.26513323257812293,0.03967788027204319
Alabama,1,2015,10.709181863068256,0.18495658983437185,0.07168709291965734,0.2668628532866678,0.03969352409220126
Alabama,1,2016,10.741968082839463,0.17088689690169148,0.06351721813482522,0.26619209178952563,0.04105977422737647
Alabama,1,2017,10.781515512284951,0.16888918814281145,0.058473594092025884,0.2671513003649215,0.041431893798796124
Alabama,1,2018,10.816994413033667,0.16802075977554184,0.05625463587588876,0.2656786564129863,0.043267303903887805
Alabama,1,2019,10.853870484578053,0.1545705198666245,0.04927929984208126,0.26774861646052517,0.044725214324974484
Alaska,2,2010,11.075598103713281,0.09942137303357242,0.09638670280945029,0.03181019209087026,0.05701100163168694
Alaska,2,2011,11.124686137527133,0.10455394278923691,0.08834026104683487,0.030179129342288415,0.05759784590946953
Alaska,2,2012,11.123018695777917,0.10117270908094934,0.07830920914621355,0.03365238041203146,0.05972528501645364
Alaska,2,2013,11.187707658989343,0.09329040215268411,0.0871570907792574,0.033403524809149925,0.06597590636783598
Alaska,2,2014,11.178612894590135,0.11233721087383294,0.07640655497190164,0.03204421689298144,0.06688456589370355
Alaska,2,2015,11.203065947573744,0.1034067969449127,0.07892461672270326,0.03350206924943665,0.070182494799792
Alaska,2,2016,11.24426139835421,0.09885243546676097,0.07979137354340286,0.029341118812121408,0.06915273610515787
Alaska,2,2017,11.200691103415608,0.11105497507189731,0.07573228595388065,0.028645773491305024,0.06990044539365635
Alaska,2,2018,11.216485150844548,0.10906281168977998,0.06845753666020976,0.032560025385184925,0.07196401595795172
Alaska,2,2019,11.23139774889025,0.10079232197274861,0.0575752590886659,0.029763035766767594,0.07183153462876515
Arizona,4,2010,10.753403411543824,0.17444664056195383,0.11821449822816553,0.038801559839450855,0.29762897979758135
Arizona,4,2011,10.751692144575056,0.18993303662666583,0.1114690295675537,0.03861099991438495,0.300700886462872
Arizona,4,2012,10.775324703655977,0.1866044457094706,0.09827109757656752,0.04031141776109735,0.3015454152173233
Arizona,4,2013,10.789525241239263,0.18626284140764107,0.08926462470425649,0.03971268024260921,0.30258454380390376
Arizona,4,2014,10.821137360447914,0.18241194127394947,0.07933013321411572,0.03946692883768275,0.30549816355501996
Arizona,4,2015,10.849181734779526,0.1737251572124367,0.06862505746761997,0.041405288321069,0.30732147394613263
Arizona,4,2016,10.888520457808427,0.16355752050849065,0.06502464664507104,0.04104387330616004,0.3094435189020571
Arizona,4,2017,10.943428518789158,0.14861800504574998,0.05807167016957069,0.04138652018807714,0.3138666271394915
Arizona,4,2018,10.989453546169914,0.1402305343851038,0.05350683698309013,0.04327988302824763,0.3160142037127878
Arizona,4,2019,11.03577636756362,0.13468327350326703,0.050792465617703904,0.043832587528818606,0.3174449563020516
Arkansas,5,2010,10.55338792609279,0.18835776347472602,0.0959073175193875,0.15815034607678105,0.06252520018099635
Arkansas,5,2011,10.565092465086195,0.19458928126978925,0.09351285728432736,0.15663079960748527,0.06468630306751683
Arkansas,5,2012,10.599430820398075,0.1982707048764126,0.08431089225621233,0.1555356476195869,0.0670926452571961
Arkansas,5,2013,10.609328821154959,0.1967984993074262,0.08090693448889645,0.15585362169621741,0.06863311924519147
Arkansas,5,2014,10.627697258547892,0.18866082801222123,0.06757702952605636,0.15703238538428632,0.06936527451574635
Arkansas,5,2015,10.645305842559727,0.19066288417320182,0.05834211232066048,0.15663332666264634,0.069754456041292
Arkansas,5,2016,10.699507156016702,0.1722279145665366,0.05106879750478285,0.15468327929944234,0.07179591519847081
Arkansas,5,2017,10.733544786612352,0.16403029707635064,0.05569851227923016,0.15161707684273,0.07448176417702883
Arkansas,5,2018,10.759221160315827,0.17245358659596752,0.044862512843083444,0.15081200799648287,0.07641452307283933
Arkansas,5,2019,10.798595505142377,0.16207580646317646,0.04822612306991718,0.15408422813410017,0.07686085643732993
California,6,2010,10.963151091065663,0.15803525840690494,0.12790749678599492,0.057681197936361055,0.37723296646317633
California,6,2011,10.955829000871807,0.1656330038621966,0.12333685332213597,0.057004749453941204,0.3809703259415442
California,6,2012,10.973837531486266,0.16956475071110397,0.11364256976790442,0.05652923667695983,0.38215337856647347
California,6,2013,11.005261504541817,0.1683507216791511,0.10046578354322487,0.05654094600248181,0.383990580739524
California,6,2014,11.033808434547957,0.16445245677456266,0.08500238033246219,0.05555654919141808,0.38628361574640807
California,6,2015,11.074420502783864,0.15343687832954672,0.07287150966920294,0.05601875579035774,0.38790689996310623
California,6,2016,11.123417363936255,0.14347069780489619,0.06510156244544953,0.055056230931059214,0.38931896513573483
California,6,2017,11.181709390494719,0.1330189572471362,0.05911656931873974,0.05474006613559322,0.3914672797416615
California,6,2018,11.228929922243076,0.12801452628690468,0.055326210174764044,0.05508697628955853,0.3928539657095215
California,6,2019,11.295266843886589,0.11754324025363709,0.05064053060742512,0.054970053190882225,0.3941788342306126
Colorado,8,2010,10.897590814778392,0.13371751079916452,0.09857329387699762,0.03756294969906345,0.20750351896418173
Colorado,8,2011,10.922100188159392,0.13478163693532033,0.09289494381225064,0.03839394808782683,0.2092244834462816
Colorado,8,2012,10.946675217598633,0.13707482100763632,0.0780396985681338,0.03948872519027169,0.20987465836684605
Colorado,8,2013,10.982288213867557,0.1295644090094053,0.07015365885747615,0.0374387357600562,0.2103925182129491
Colorado,8,2014,11.023584060367908,0.12044453957678118,0.05451571322488896,0.038442709358299854,0.2119371545143213
Colorado,8,2015,11.065215475518313,0.11490503627787606,0.05197725662885476,0.03910677285784084,0.21337161376350802
Colorado,8,2016,11.092625867903608,0.11046123232048546,0.04731964091605358,0.039838680129842825,0.21319527230624424
Colorado,8,2017,11.143555999758231,0.1029183469801047,0.04203872574685723,0.03914641902112908,0.21521149588543492
Colorado,8,2018,11.183768407068236,0.0963762009101635,0.03944814207488378,0.03920577488024013,0.21685771593471692
Colorado,8,2019,11.253208692800149,0.09347072954771844,0.036692855350147886,0.03955937552963011,0.21826022238213386
Connecticut,9,2010,11.06713823738346,0.10099432445037852,0.1049058253292982,0.09369420193549306,0.1347193641281573
Connecticut,9,2011,11.09366057637554,0.10883569973172433,0.1061777309506198,0.0945818272303055,0.1380422145446614
Connecticut,9,2012,11.116558839847324,0.10688030290071288,0.09722458010702033,0.09443739003500219,0.14222775681570612
Connecticut,9,2013,11.113909516256243,0.10727751249299569,0.0925109161579633,0.09618250984405241,0.14659379101688505
Connecticut,9,2014,11.15693600032259,0.10751918807193767,0.07889536553929252,0.09724031376740253,0.15045915994124576
Connecticut,9,2015,11.175296559665634,0.1054053914296516,0.06926995990918793,0.09899200364478293,0.1542190423199177
Connecticut,9,2016,11.204128704847383,0.0977451020517571,0.0640011407003218,0.09851802848185856,0.15723599813446398
Connecticut,9,2017,11.214088069286818,0.09594255300087522,0.061049229003793726,0.09874632961966276,0.16131642078555614
Connecticut,9,2018,11.243057115149783,0.10419538541338993,0.05514530914158271,0.09997130993250136,0.16508964596456707
Connecticut,9,2019,11.275086969907266,0.1003191496125066,0.05324253589177393,0.10120643864014314,0.1685569773204794
Delaware,10,2010,10.930371087745765,0.11829408192185707,0.09286284824119716,0.21070408071404995,0.08206773071755084
Delaware,10,2011,10.98213520078464,0.11880845874610275,0.08940949657741963,0.20886858075148682,0.08394891609297403
Delaware,10,2012,10.97532798515125,0.1204697677656056,0.08761863666366893,0.20854832448652916,0.08593794297627719
Delaware,10,2013,10.965539585892435,0.12365242657626938,0.08595774875294238,0.20842042497480417,0.08743622731431522
Delaware,10,2014,10.99735527017348,0.1247874091232406,0.0673310908664224,0.2113724249530255,0.08906023210426522
Delaware,10,2015,11.022800757728271,0.12425640106263344,0.05827541145054071,0.21188899014096121,0.09018176743832022
Delaware,10,2016,11.030962608389315,0.11674959864661914,0.05664130921721702,0.2135127328491227,0.09153996838451156
Delaware,10,2017,11.048538035310022,0.13582160272186553,0.0527485694935269,0.2148680945465357,0.09308282541824378
Delaware,10,2018,11.079138039857476,0.12462132727315245,0.057286568563743596,0.2180669188799085,0.09509693735647574
Delaware,10,2019,11.158761651217615,0.11257996412527581,0.04630933184909923,0.21957989820942242,0.09590619493018843
District of Columbia,11,2010,11.017037713568445,0.19164975050485766,0.1240662381586846,0.5045355056555265,0.09141488254669924
District of Columbia,11,2011,11.052856324868022,0.18707865264641632,0.1137744198720052,0.49478637402183834,0.09505563142803514
District of Columbia,11,2012,11.106204568690059,0.18178018593967074,0.10342908068828409,0.4875451312066776,0.09919930162274661
District of Columbia,11,2013,11.12094897504262,0.18887425055738263,0.10446569472187199,0.47974240814047203,0.10141557957394938
District of Columbia,11,2014,11.179520519398482,0.17725646976664472,0.08859504306593598,0.47727476236657546,0.10374370345412684
District of Columbia,11,2015,11.233581863967819,0.17319016279875304,0.07250638138330928,0.46548789993871126,0.1058108260887675
District of Columbia,11,2016,11.231967402278203,0.1857596803231355,0.06919595015258372,0.4636845427719952,0.10925613283027731
District of Columbia,11,2017,11.319000852325239,0.16638360867156493,0.06590777941633416,0.45348371404033594,0.11027246056036843
District of Columbia,11,2018,11.35279192346511,0.16150970582828,0.07541189689775929,0.4436640069470642,0.11281719113679879
District of Columbia,11,2019,11.432430988597913,0.13451483639183942,0.0626380691348715,0.4414813198460076,0.1126136912698424
Florida,12,2010,10.701197430581601,0.16528600318016348,0.13349580625375873,0.1526165815949902,0.22571370892803108
Florida,12,2011,10.698717382415014,0.17013973311361852,0.124095840819118,0.15337597052127708,0.22852112827561918
Florida,12,2012,10.715306262813572,0.1712404280792592,0.11544567022767994,0.15315525225535637,0.23213072163121154
Florida,12,2013,10.737178978088382,0.17006489823548937,0.09704860488507955,0.15445459129764136,0.236247587309478
Florida,12,2014,10.767705739117174,0.16495019827726562,0.08046181409649829,0.15502101034333324,0.2407278190236641
Florida,12,2015,10.808231880509911,0.15702153757365092,0.07013281052430705,0.15517600474208032,0.2448245477639489
Florida,12,2016,10.83683203897611,0.1472666848989037,0.05975286240585278,0.15342526908145127,0.248712828210189
Florida,12,2017,10.870357323778437,0.14047239853144786,0.05499907529010843,0.1536594803758983,0.25594536894073694
Florida,12,2018,10.923453380546235,0.1360448441148588,0.051710122508897276,0.1527070928304066,0.26115625729923364
Florida,12,2019,10.989132797979813,0.12659920592464666,0.045201389419544664,0.15238588683714677,0.2636976605123715
Georgia,13,2010,10.745701081013967,0.17878149734950258,0.12591150276089597,0.3033321606282652,0.08822819296238994
Georgia,13,2011,10.736548837807,0.19138127075137448,0.12159923557876486,0.30327868685438214,0.08966359354512028
Georgia,13,2012,10.762339831363015,0.1915063056611921,0.11037572918303332,0.30480199234975597,0.09116411431716608
Georgia,13,2013,10.775387429075476,0.18967023059765778,0.10290761133085324,0.3052394940957252,0.09081113235997756
Georgia,13,2014,10.806105232822933,0.18302064392414427,0.08283828281179251,0.3086095025196232,0.09132253900852927
Georgia,13,2015,10.844353816976325,0.17046799579006441,0.0710389137832827,0.3093389434608012,0.09301086847984211
Georgia,13,2016,10.888539128981071,0.15965945303286258,0.05967049182801626,0.31090471914153234,0.09333650554378693
Georgia,13,2017,10.936369499018918,0.14945739170064995,0.057619039741060765,0.3111758619568816,0.09602412569338979
Georgia,13,2018,10.981148554451305,0.14344086891074984,0.04802587250320082,0.31191071797784586,0.09712975219770949
Georgia,13,2019,11.034567031341739,0.1329693628555194,0.04795861696713483,0.31540176933706043,0.09820104181589073
Hawaii,15,2010,11.051366082507156,0.10719835219806194,0.08100569519544384,0.013940823733280728,0.08873506641508161
Hawaii,15,2011,11.0319983915501,0.1204966893106908,0.07667362375128153,0.018161782355380015,0.09195379725198391
Hawaii,15,2012,11.101326583678425,0.11589066215023046,0.07078071133196351,0.017312199196588697,0.09462168348639997
Hawaii,15,2013,11.127557058561186,0.1084829438852582,0.060733962360530365,0.019824023862330082,0.09833240032078538
Hawaii,15,2014,11.150404897187377,0.11358787190064676,0.05396223996353614,0.01999420947743704,0.10090302565370561
Hawaii,15,2015,11.204850190867559,0.10614860546537926,0.049314385720862976,0.019230191610383605,0.10387307095612401
Hawaii,15,2016,11.218702044475025,0.09325254310723298,0.044266674834292336,0.017072472431971564,0.10370604743107906
Hawaii,15,2017,11.26144673747866,0.09545857189154154,0.041902552138843564,0.0158517671683696,0.10516357533039401
Hawaii,15,2018,11.292428408596924,0.08835269030010533,0.03823713200446545,0.018992024588680954,0.10655188945230909
Hawaii,15,2019,11.327824047942613,0.0933391729836891,0.03879349816849817,0.017794687655381277,0.10655200470098992
Idaho,16,2010,10.680286305591684,0.15712970049161404,0.09989968188598054,0.005424289668777244,0.11284227942346241
Idaho,16,2011,10.676854348197491,0.16452484449209784,0.09966308810055564,0.004729382296993347,0.11466354571178906
Idaho,16,2012,10.725225817469049,0.1587302804004571,0.08012319472200241,0.005178200796125656,0.11603418627736055
Idaho,16,2013,10.753275168052005,0.15575733569354183,0.07243271055253676,0.005292357468600664,0.11801113553695222
Idaho,16,2014,10.77605625551905,0.14845207640527658,0.055332058642701444,0.006312161050962273,0.12047496916420307
Idaho,16,2015,10.784669107296715,0.15137696687536525,0.053598973520334395,0.00533436459548138,0.12075435214782498
Idaho,16,2016,10.85528055425278,0.14368035183517772,0.04686170405514994,0.00605059591002531,0.12313176562852764
Idaho,16,2017,10.863316586424766,0.128259800971366,0.0414173000062126,0.006375866875021477,0.12441822471683685
Idaho,16,2018,10.92563267809028,0.11796043766256527,0.0397957726363896,0.005704568671446032,0.126817344351411
Idaho,16,2019,11.018612749578452,0.11173890188181392,0.03319883740810395,0.006910213114799966,0.128419503487562
Illinois,17,2010,10.877518751046855,0.13805691684517274,0.11432478800484766,0.1431680475047975,0.15867201280431945
Illinois,17,2011,10.882452568938104,0.14959639255906423,0.11024051140480945,0.14323412093889787,0.16139468480663882
Illinois,17,2012,10.917576276133584,0.1471774841343136,0.10166943513057809,0.14179323050300752,0.16310418706270283
Illinois,17,2013,10.93684995599612,0.14673133132114358,0.09508230473826376,0.14026316289962806,0.16445364064264192
Illinois,17,2014,10.95856583918051,0.14353776787628994,0.08058183148240326,0.14073993562401693,0.16703486954779986
Illinois,17,2015,10.995209490499484,0.1356159543010817,0.06922133489952091,0.14101459603988958,0.16889493347392437
Illinois,17,2016,11.017973190360529,0.12969929668373772,0.06301749728367023,0.13987802560301538,0.1701975051593406
Illinois,17,2017,11.050763013183518,0.12554287843937645,0.061414721245687635,0.13986164530402734,0.17238892634390673
Illinois,17,2018,11.082603980863198,0.12125123651602025,0.05534274125464799,0.1380821719979782,0.17336583711898834
Illinois,17,2019,11.144568262685945,0.11480788855987158,0.04844600554950448,0.13883505772374782,0.17489988218741412
Indiana,18,2010,10.705780575356794,0.15295697758823415,0.10820415225339304,0.08912953013278699,0.06001736967849455
Indiana,18,2011,10.745873368562311,0.15999782875044588,0.10006526021898975,0.08904663888872692,0.0612997976652168
Indiana,18,2012,10.757349536135969,0.1561430071756488,0.08767784893996959,0.09031755146669881,0.06254843335218914
Indiana,18,2013,10.769095330043152,0.15941340067117993,0.07828912758130044,0.09045698748817134,0.06400597665282483
Indiana,18,2014,10.808636443991439,0.15242495454872595,0.070615877622225,0.09173977599932089,0.06449512684453425
Indiana,18,2015,10.830362077949928,0.1454137785632789,0.05815275781613432,0.09007610639789235,0.06633160515311919
Indiana,18,2016,10.86501930065587,0.14085257377653665,0.05018109488807949,0.09176272223363811,0.06755245284486645
Indiana,18,2017,10.90008557246396,0.13479208915848603,0.04743209285628814,0.09195991250998602,0.06924112822638927
Indiana,18,2018,10.928560937869367,0.13139215698058684,0.04405680578860608,0.09393521519669068,0.07059587756979431
Indiana,18,2019,10.961329928661026,0.11903817915957671,0.041608159280264706,0.09395163763983316,0.07212391634912649
Iowa,19,2010,10.778143459633002,0.12558490786038204,0.06749193612356275,0.03050641614776698,0.049751416693689564
Iowa,19,2011,10.80825211257166,0.1278390283175676,0.06024658544867363,0.028129754378150604,0.050040998475333484
Iowa,19,2012,10.83873741881143,0.12691844093839572,0.05345451538528888,0.02909680806561477,0.05225578413277531
Iowa,19,2013,10.86339317516243,0.12672754682167486,0.04825652595042041,0.03253218984110877,0.05401376384279657
Iowa,19,2014,10.891391719219817,0.12240715614753048,0.04418168339279245,0.03092954711202571,0.055056344673502136
Iowa,19,2015,10.910276907217385,0.1215868699126322,0.04159056286957392,0.033403128590264924,0.055801419956279
Iowa,19,2016,10.937507985311061,0.1175645869909591,0.03942561435654557,0.03461327791908171,0.05712265922053611
Iowa,19,2017,10.977977899083829,0.10728072033724342,0.03583185993487281,0.03305739147683942,0.05904738229290612
Iowa,19,2018,11.001349559813534,0.11240538505513363,0.03621185698711052,0.03598123660351473,0.060666731091252146
Iowa,19,2019,11.029893332154973,0.1116769937801943,0.037097101396681445,0.03989166642895403,0.06259195517056673
Kansas,20,2010,10.784296173964584,0.13602944488182592,0.07926033965364046,0.05654545079356974,0.10532430926608395
Kansas,20,2011,10.798840613195402,0.13759847570110392,0.07436898547885268,0.05707224549131768,0.10685495246301421
Kansas,20,2012,10.824586705402588,0.13979481173232383,0.06504126640145849,0.05633380170171922,0.10942009525608085
Kansas,20,2013,10.83903174133217,0.13989932148341835,0.05884275379568847,0.05715668892108625,0.11141285098569191
Kansas,20,2014,10.868644636153558,0.1356446427362569,0.052042728991533956,0.0569090237295116,0.11327638470933922
Kansas,20,2015,10.894997067955957,0.1303025175710002,0.04651591541117251,0.05780005158603001,0.1155090892043353
Kansas,20,2016,10.913905947134982,0.12121744004665476,0.044873980083542236,0.05538733851364622,0.11588424817759775
Kansas,20,2017,10.940614432350252,0.11901034740338745,0.042059224540548105,0.05531795258902559,0.11860467271721792
Kansas,20,2018,10.971949864253354,0.11967915687551316,0.03813776590318234,0.056030032526077536,0.11967776171127696
Kansas,20,2019,11.036291906232384,0.11432961018360574,0.0375124877436639,0.055428971954276124,0.12178707822088522
Kentucky,21,2010,10.598183533085924,0.18982299971795524,0.11156713058997582,0.07680615958618271,0.030155310328452055
Kentucky,21,2011,10.62476047015509,0.19141642971929906,0.10414023043621486,0.07852759079370049,0.030097799309555
Kentucky,21,2012,10.638831781795862,0.19382553236876995,0.09313710735303685,0.07763100071568561,0.030598698981717486
Kentucky,21,2013,10.678191678348384,0.18765369539272425,0.08369591403717044,0.07870188462890432,0.032555493999833915
